Name,Platform,Total_reviews,Scraped_reviews,Quote,Score,Date,Author,Spoiler
Cyberpunk 2077,PlayStation 4,5430,500,"Released ""for"" PS4, Xbox and PC but does not play well at all on the former two consoles. On PS4 the resolution is around 720p, occasionally managing 30fps but generally not. It is simply unacceptable for a £50 product. Regardless of the age of the hardware, the game has been developed specifically for it.",0,2020-12-11,chudlyfudly,False
Grand Theft Auto: The Trilogy - The Definitive Edition,PlayStation 4,262,262,"the game is just beautiful with some bugs that are funny and make you smile, but on ps4 slim and base it has annoying stutters, I would really appreciate it if you could optimize it better on this platform",7,2021-11-15,Jose3434,False
1-2-Switch,Nintendo Switch,132,132,"The mini games are actually enjoyable, and is a surprisingly fun party game. I'd definitely recommend it even if it is only when you can find it for a lower price.",10,2017-03-03,green098,False
Dragon Quest XI: Echoes of an Elusive Age,PlayStation 4,223,223,"Easely one of the best j-rpg's in years, the game looks stunning and the world is made brilliantly.
The old-school turn based combat system combined with a great story make this game a must have for all jrpg lovers.",10,2019-01-07,bassie0317,False
Marvel's Spider-Man: Miles Morales,PlayStation 5,1188,500,50 bucks for a DLC? No **** way mate. I was waiting for this game for so long and I feel like I got screwed over.,0,2020-11-16,chooby_g,False
The Evil Within,PC,287,287,"I thought the control was actually good and the graphics, game play, story is really good. And the 30 fps lock shows that some pc gamers should spend a month with a rotten potato laptop.",10,2014-10-28,reddog8,False
The Last of Us,PlayStation 3,2857,500,"I'll start of by saying that the game is fantastic, it really is. In fact, I would go as far as to say that it's my favourite single player game so far. Multiplayer, not so much. The story is extremely well written, well executed and incredibly engaging. From the get go you feel emotionally intertwined with the characters, you feel what they feel. No other game has taken me through so many emotions, whether that's scared, happy, saddened, excited or just  my pants.
The last Of Us delivers breathtaking scenery. The world is beautifully crafted, with an immense amount of depth. Back stories, visible events (as in, blood trails left on the floor from a fight) and decay are everywhere. The representation of a post apocalyptic world is second to non. The world is greatly explorable, giving a feeling of a non-linear path even though it actually is. You have optional mini side quests for loot and goodies (which I would highly recommend doing!)
The game is scary, no doubt; however, it doesn't let that over-ride the story. There is a great balance of horror and non horror story driven elements. The enemies are menacing and deadly, and in great supply, but the game does allow for breather periods where you can freely explore and truly take in the gorgeous scenery.
I can honestly say that in all my years of gaming, nothing has quite touched me like this. I may of only spent 12 hours playing, but them 12 hours where fantastic from start to finish. Nothing about this game, in my eyes is negative (apart from fishy AI at times). If you were considering picking this game up, I would suggest that if you like a challenge, with horror elements and a brilliant story, you should snap at this game and enjoy it. After all, if you pay for it, you deserve what you get.",10,2013-06-17,imfromimgur,False
Death Stranding: Director's Cut,PC,51,51,"More like Easy Mode's Cut. Travelling the mountains with no roads made me a stronger man, and I feel like some of the resources is this versions can make people softer than they should be - anyway, all jokes aside, I really like Death Stranding and I think this version can be a better option for those who may want an easier experience, if just by a little bit. The races are really fun too! As the original game, I think it is a solid 9/10.",9,2023-08-14,Richard_dias,False
Naruto Shippuden: Ultimate Ninja Storm 3,PlayStation 3,59,59,"I actually followed news about the game from about 2 weeks before launch and was really disappointed about all the stuff that was leaked but as a die hard Naruto fan i still couldn't resist giving this game at least a chance and what can I say? It's totally worth it! Game was released on Friday over here and i actually did nothing but playing the game all weekend long and I definitely didn't have that much fun in a good while! the story mode is really awesome if your a bit into the story, it's basicly a 8 hour movie through the last few chapters of the series with a few battles which sometimes could be a little more difficult but overall I'm fine with it, If u didn't enjoy the story too much u still got Post-Game and in the Post-Game u got another 12 hours or missions to accomplish, some are quite equal to ninja storm 2, some are new and overall it's nothing brand new but if u liked that kinda stuff in 2 why wouldn't you like it in 3 as well? even tournaments and survival from generations make a comeback although survival must be opened through a mission in the story mode and they actually balanced it way more then it was in generations (where the latter survivals were almost impossible without cheating).

all in all i would say it takes about 25 hours to play through pretty much everything in the game (which i did) and after that there's still the online battle which is quite a let down as usual thanks to the crappy Spammkid community but i guess that's not Namcos fault. but if you actually got a few mates who got the game as well your in for a lot of good time which the game as i do  the new roster actually isn't as bad as everybody is complaining about, ofc quite some stuff was copy-pasted and the PTS chars really don't fit in the game while others should be in (edo kages    but overall especially the new awakening system makes a LOT of chars way more fun to play now! if u you think about it how it was in the former games: about 20 chars were interesting, rest was crap anyway and nobody played them like ever and  i would be actually more annoyed if they would have simply built 30 more chars which are pretty much all Copys of each other with minor tweeks and boring UJs then making a few good ones and making older chars more interesting and fun to play....i actually really never felt like playing chars like e.g. Hinata ever but now she became quite decent and it feels like a brand new char simply because i never played her in the former games 0.o

and on top of it all was a really awesome and well made Artbook which alone is probably worth about 10-20 euros. ofc the game isn't perfect and it isn't for everyone, it's really easy, online it's still unbalanced as hell, a lot of balance issues were copied over from generations and there certainly are some chars who wont be that interesting to play but i personally don't care. i had 25 great hours with the game so far in the story and i know that i will have 100 more with my friends online and i guess 60 euros for that is quite fair. if you're a Naruto fan and like Beat 'em up action games you can't do wrong with this game and even the ending isn't as bad as everybody says, it simply closes the story of the game where the manga continues and I actually like to have a real ending after a long story mode instead of an open end which forces me to buy the next game (which i will do probably anyway but still :-P  I hope this review helps a few people to decide whether they buy the game or not and I'm sorry for my bad English ",9,2013-03-11,Cha0zb0rn,False
PlanetSide 2,PC,548,500,"Before i start i would like to point out that this game is FREE, to those of you giving a FREE game of this quality a zero your quite frankly completely wrong. Unlike many free games Planetside 2 is not a pay to win although you can pay to unlock weapons they can all be unlocked without paying a penny, only skins require real money to obtain.

The game is by no means perfect there's a steep learning curve that can be a pain to get passed and getting dropped into the action when its on such a huge scale can be disorientating and frustrating to new players. The weapons unlock quite slowly and there is no real end game no faction can actually lose.

Now with that out the way Planetside 2 is possibly the most epic experience you can have on any game, thousands of people fighting epic battles with aircraft tanks and infantry is just amazing to be apart of. Especially with some friends or a decent squad or outfit where you work as a team to capture of defend strongholds. This game far surfaces other FPS games like Halo and COD in my opinion and does so on a scale that's beyond belief and all this from a free game.

There is no reason not to try this game its free and wont cost you a penny get some friends on Skype or teamspeak and you will have a great time.",7,2013-10-06,CaptainThom,False
Disco Elysium: The Final Cut,PC,240,240,"Disco Elysium is a game that exceeded my expectations and was one of the best gaming experiences I've ever had. Its deep, intelligent story and unusual gameplay simply amazed me.From the very beginning, Disco Elysium captures you with its unique atmosphere and charismatic characters. Every decision you make, every interaction with other characters influences the development of the plot and your main character. There is no room for randomness - every choice you make has consequences that can be disastrous or favorable for your character.Disco Elysium's graphics and art style also deserve a special mention. The game's fully hand-drawn universe is full of detail and creates a unique mood-setting world that illustrates endless city life and crime.However, Disco Elysium's gold cup is its exceptionally deep, well-crafted and literary script, which is one of the main reasons why I rate this game a 10 out of 10. The dialogs are constructed in a way that allows you to feel every emotion, every nuance and every character is designed with incredible care. An explosive cocktail of drama, comedy, dark humor and philosophical thoughts opens up in front of **** in all, Disco Elysium is a masterfully crafted work of art that left me with a deep impression and understanding. If you're ready to immerse yourself in a unique world where every action you take matters, then I highly recommend playing this game. It deserves the highest rating of 10 out of 10.",10,2024-01-08,vladke100,False
Metro: Last Light,PC,542,500,"Its so beautiful and atmospheric game. Its almost everything I want from nowadays FTP game.
If you want deep and masterfully created game, try this one and you would be disapointed.",10,2013-05-23,Voit,False
Call of Duty: Black Ops Cold War,PlayStation 5,329,329,Cheap pathetic propaganda. They couldn't even come up with a decent storyline. Disappointment tbh.,2,2020-11-16,grove2121,False
L.A. Noire,PlayStation 3,315,315,"Story: 7 out of 10, Graphics: 7 out of 10, Fun: 6 out of 10, Controls: 7 out of 10, Difficulty: 8 out of 10, Length: 8 out of 10, Re-play: 4 out of 10, Value: 5 out of 10",6,2014-02-03,fateappointed,False
Need for Speed: Most Wanted,Xbox 360,92,92,e muinto bom em comparaçao com forza e a mesma coisa mas need e um pouco melhor pois os carros ja vem no jogo nao precisa comprar  por isso acho que para os consumidores brasileiros forza esta melhor pois todo o jogo esta m portugues dublagens ingresos de corrida radio tuuuudo por isso passa a frente de need mas neeed esta melhor em termos graficos,10,2012-11-08,horacio,False
Judgment,PlayStation 4,139,139,"Lo mejor del juego son dos cosas: la historia y la variedad de situaciones jugables. La trama es muy seria, inteligente y entretenida, con muchos giros de guion que te hacen seguir jugando solo para saber cómo sigue. Y la jugabilidad es genial porque tan pronto estas investigando algo o siguiendo a alguien como de repente estás dándote de hostias con la Yakuza. Además, las misiones secundarias, aunque a veces algo repetitivas, son graciosas y permiten desconectar un poco de la trama principal. Sin embargo, no es un juego para todo el mundo, ya que va a haber que leer mucho texto y mucho diálogo. Aun así, merece la pena. Duración aproximada: 35-40 horas",8,2021-12-28,nowells5,False
SOMA,PC,272,272,"The best story I've ever experienced in a game or movie. One of the only that's gotten an emotional response from me. And it messed me up for a couple weeks, stuck in my mind. I loved it. Definitely give it a playthrough. If you don't like the hide-and-seek style of gameplay, the new safe mode is your answer.",10,2018-06-02,ManChile,False
Deep Rock Galactic,PC,167,167,"A  wonderful co-op experience. This game really allows for friends to quickly hop in and play rounds without having to worry. If you're group doesn't have the commitment level for a full MMORPG, this will be the perfect experience where everyone consistently has fun.",10,2020-06-03,wagllgaw,False
Hogwarts Legacy,PC,743,500,"This game has some issues, like very poor graphics, but as a Harry Potter fan it is absolutely amazing. The story has me hooked but just exploring Hogwarts and all the surrounding areas has been absolutely incredible. If you are a fan of the books or the movies, I highly recommend this game.",9,2023-02-15,deezNuts77,False
Minecraft,Xbox One,106,106,"Что тут думать, Minecraft величайшая игра времён. шикарная графика ,куча возможностей, а также мультиплеер с друзьями . 9 потому что нельзя устанавливать моды,если можно тогда бы поставил 12/10.
Покупайте Minecraft это игра века.",9,2019-10-16,Revenant1826,False
DOOM Eternal,PlayStation 4,1489,500,"Arguably the best FPS of the decade. Doom Eternal is unashamedly about fast, furious and fun gameplay as a video game, with a lot of new depth to some old school themes. The pumping electro-metal riffs, richly detaiied apocalyptic decors and scenery, give it a rich and unique personality. It deserves a 10 not because it is perfect, but because it is undoubtedly the best FPS today.",10,2020-03-22,ClosedRange,False
Battletoads,Xbox One,389,389,"This game is truly one of the most fun games i've ever played , it's humor is fantastic and coop is perfect , the game changes a lot and it is always a pleasent surprise.",10,2020-10-18,Cruety,False
Super Mario Bros. Wonder,Nintendo Switch,913,500,This is one of the best mario i play in years. It got it all right from the first level to the last. Stunning animations and good graphics been a switch game. Each level is a joy to play.This game is a good family friendly game,10,2023-10-24,Tinman19,False
The Forest (2014),PC,182,182,"Haha its been pretty awesome recently awesome graphics but buggy but i kinda like the bugs  there was one bug where i could mass produce resources an weapons such as the ax infinite ammo for the flare gun  but eventually i died cause of a bug , so practically this game would be cool! And an early update would be nice",9,2014-06-03,hendrick2k6,True
Resident Evil 4,PlayStation 5,1795,500,"Game traz  melhorias na gameplay, história, gráficos e uni isso com uma fator replay muito bom, trilha impecável e momento marcantes.",10,2023-03-26,IannSilva,False
Final Fantasy XIV: Dawntrail,PlayStation 5,130,130,"I have been a XIV fan for a decade. Love almost every second of the MSQ from ARR to 6.0 due to the fantastic writing. That fantastic writing is nowhere to be seen in Dawntrail. It's filled with plot holes and boring characters. Old fan favorite characters are now shadows of their former selves with none of the depth they used to have, depth fans are expecting. And the new characters? Wuk Lamat, Sphene, Bakool Ja Ja, Zarool Ja, take your pick. None of them are entertaining or have any **** at its worst gave me more joy than this expansion has. And it's had nearly 50 hours to show me something... anything!",0,2024-07-03,Grimoire,False
Empire: Total War,PC,158,158,"I understand how extreme it is to give a game a 0 or 10 but in this case, I honestly feel it deserves it. A game that provided me with over 1200 hours of gameplay (and still counting) for me, ranks right up there with such legendary games as Master of Orion 2, Sid's Civilization and XCom.

When the game was first released there were plenty of bugs but the patches long ago have squashed them all for me. Never before has a game pushed the boundaries so much and seemed so grand in scale, I was in strategy heaven! Introducing interactive naval combat for the first time in the Total War series, 3 different theaters, a technology tree, a completely new era, and the list goes on. To me, Empire Total War is the time when Creative Assembly really dug down in their creative spirits, took risks by breaking away from the safety of their melee heavy games (which are great by the way) and delivered a unique experience that every strategy gamer should experience.

If you like strategy games, this is a must have for your collection in my honest opinion. If you can appreciate the risk the developers took with the introduction of so many new mechanics and a scale unmatched by any Total War game before or since; I think some of you may find a game taking its place among a short list of all time favorites.",10,2013-09-02,KhanIndustries,False
Sonic Colors: Ultimate,PlayStation 4,145,145,"This is the remaster that everyone hyped for, It's even worse than forces. I decided to play it on my PlayStation4 but it has a lot of glitches, No I won't recommend this game. And SEGA please don't waste your time and your money on that blue blur, If you don't know how to make sonic game then don't make it and focus on other titles like Jet Set Radio, Crazy Taxi, NiGHTS, and more. It's simple.",0,2021-09-10,JafarYellow,False
The Witcher 3: Wild Hunt - Hearts of Stone,PC,191,191,"This is how DLC should be done. Truly 10 hours of new, great content. A stable of new (and old) characters that both fit the tone of the game overall and move it in new directions. A excellently written central story that rivals the Bloody Baron questline (imho). Wouldn't have expected any less from CDPR. The only downside is I've finished it, and now I have to wait a few months for the next expansion.",10,2015-10-22,ferrhis,False
Dead Space 2,Xbox 360,223,223,"Disclaiming:  I never played Dead Space 1.  However, Dead Space 2 really got my attention and I had a great time playing the game.  It's a bit repetitive, but other than that the game, story and concept is one that I fell in love with.  Well done, well worth the time and money.",8,2011-04-23,Qwik,False
Resident Evil 5,Xbox 360,121,121,"foi um jogo que eu joguei bastante e gostei, ele tem seus defeitos tudo mais, mais em si ele é um game bom",8,2023-05-29,criticorealist,False
Deus Ex: Human Revolution,PC,796,500,"The good: I enjoyed the plot, side quests, hacking minigame (initially), and don't regret playing it as a whole,but there is some flaws.

The bad:
Graphics
..are just ok, it's repetitive and with a lack of detail, optimized for a slow console perhaps? Noticed no difference with Dx11.

Game play
.. is somehow too easy, even when playing on hardest, as covers = imba, and guards, even after you throw a grenade their way, will assume it's nothing when the 30 seconds hard timer is up, and besides, hardly even bother come search after you when you're noticed even. (Prefer stealth mechanics as in Metro 2033).
The 3rd person cinematic for takedowns and fall implant breaks up the flow and becomes irritating, the cover mode/look however, is cool. The different approaches, so much spoken of, feels like a repetition over and over, with air ducts, hackable door locks or brute force. The ugly*:
Finally, the end credits, it feels like I'm visiting some distant relatives which is having a slideshow of people I care nothing about. To be harsh, it breaks the immersion I had in the game, and becomes everything but a reward for finishing.

* Just having fun, they are all like super model looking. Lots of implants I'm sure.",6,2011-09-14,pzeudo,False
Call of Duty: Black Ops,Xbox 360,587,500,"Damn, this is a great game!  Ok, let's get serious.  MULTIPLAYER is the STAR here and raises the bar for all subsequent games.  Not only are there loads of new features, but all the details are well thought out and the gameplay is  SMOOTH and WELL-BALANCED. It is WAGER MATCH, however, that blows everything out of the water.  INGENIOUSLY CRAFTED and BRILLIANTLY EXECUTED, the WAGER MATCH MODES are INCREDIBLE FUN and SERIOUSLY ADDICTIVE. The single player plot is intriguing and suspenseful and keeps you guessing until the last revelation. Altogether, Black Ops is an outstanding piece of work and NOT TO BE MISSED!  In my opinion, this is the BEST CALL OF DUTY YET!",10,2010-11-09,nightdr4gon,False
FIFA 21,Nintendo Switch,265,265,"ctrl+c ctrl+v goes brr, money goes brr, metacritic score goes brr, ea go **** yourself",0,2020-12-08,l3ano,False
Call of Duty: Modern Warfare,PC,1656,500,"Very ""nice"" game. Trouble with connect to game-services on the start. And so primitive russophobic story.",1,2019-10-26,RazzblazzK,False
Battlefield 4,PC,1069,500,"1 Because the game is VERY good, problem is you can't actually PLAY because every  time it just crashes to desktop! Every 20/30 min it just crashes with no  reason and it's going on since the RELEASE! It's been WEEKS! I hope in a better future agencies like Antitrust will do something about EA and such because this is SELLING AN UNFINISHED, CRASHING PRODUCT! Totally disgusted!",1,2013-11-26,Semola,False
Marvel's Avengers,PlayStation 4,1143,500,This is by far a best Marvel Avengers game for story. So any Marvel Avengers fan will definitely like it.,9,2020-09-05,Kaushal12,False
Shadowrun Returns,PC,337,337,"I'm a gamer for more then 15 years. I always believed, then in our days AAA studio makes crap games, because all they care about are money. But not indies. They are different. I've waited for Shadowrun as the triumph game of the year, 1.2 mln  budget on kickstarters  could something like Fallout dev team ever dream about it?

And so we have this game, its just average. Boring, linear. It was supposed to have nice story, but how can I enjoy it, when my choices doesn't matter? Somethis is wrong with this game in so many ways, like developers just care about getting salary, game has no soul, nothing, its empty. Meh, it could be so much better then this. It has quite potential, hopefully community mods are going to bring something fresh into it. Still, spending so much money for such a poor game has no excuses. It is so hard to enjoy it.",6,2013-07-25,RyuMaster,False
Uncharted: Drake's Fortune,PlayStation 3,658,500,"At Least it looked nice.

All I can say is I am glad I played Uncharted 2 First, and Uncharted 3 came out before I got around to this.
Firstly, the cover is inadequate, especially against the pirates that have crack shots and can throw like baseball legends, or my favourite the shotgun wielding pirates who appear all ninja like and one shot you.
The Cover issue would be fine if it wasn't so damn hard to kill these unarmoured pirates, I've had a few survive shots to the head, Keep in mind I was playing normal, and I was taking less damage then the most basic enemy's with a slow heal time and cover that usually doesn't cover you, I found myself dying alot. I also noticed I ran out of ammo while trying to kill the current wave of baddies before moving up, taking time for head-shots generally becoming unfavourable do to there incredible aim and drakes lack of health.
Also there is no mild zoom like in Uncharted 2, what you get is all you get to work with.  I also must make mention of the poor directions, often leaving grenade launchers to kill turrets in locations you fail to notice while taking heavy fire, or like in the Jet ski chapter where it fails to mention you control Elena and her grenade launcher (she just magically acquired) A scene with alot of potential for high octane fun, that boils down to a crawl with you just blasting the hell out of everything with your (her) grenade launcher, instead of flying through with some epic cinematic style jumps or something. and Lastly before concluding the rant, Drake's slow ass doesn't get a sprint, or a combat sprint, just a sketchy roll to cover, and for some reason the shotgun that the enemy's so often one shot you with, fails to one shot them more often then not.(Unless your really close of course)

I would like to say however, that  Elena is far more enjoyable a character in this one then the other two games of the trilogy.  So at least there is that.",2,2012-01-23,Casualcritique,False
FIFA 21,Nintendo Switch,265,265,"FIFA 21 Legacy Edition is a scam. Us Switch players deserve better than this copy and paste port from last year, but EA doesn’t and never will respect us Nintendo fans. EA is incompetent and lazy and have and a unreasonable hatred towards Nintendo. Nintendo fans stand up and say to EA that is not ok and possibly things could change for the better but knowing EA they will probably do jack ****",0,2020-10-10,SuperBrian,False
Dead Space,PC,151,151,This game was a fun experience and was even better than the original when it comes to visuals and weapons,10,2023-01-29,WendyStamps,False
Armored Core VI: Fires of Rubicon,Xbox Series X,59,59,spectacular from game! It is very good and challenging too! another hit for fromsoftware!!!!!,10,2023-08-26,BigOleBallSacks,False
Monster Hunter: World,PC,229,229,"Monster Hunter: World is my first real foray into the franchise after poking at demos for the older 3DS games prior. I'm sure I'm not the only one with that background, but I can say that World on the whole feels like an attempt to get more people into the series.

MHW's premise is rather thin for a game of its scale. This is not in of itself a bad thing, but as a lore-hound I might have appreciated a little more fluff.

Mechanically speaking however the game is significantly more complex, with more keyboard binds, at least as far as I can remember, then any game I have played in the past 15 years, with the possible exception of Sins of a Solar Empire: a 4X space strategy game. That MHW is an action game with this many binds is impressive, if at times kind of annoying. I would also regard it as strangely akin to Axiom Verge in that having tried both mouse and keyboard versus controller, neither is 100% comfortable for me to use and I find myself wishing I had an extra hand, or at least a few more neurons.

You may wish the same when attempting to ascertain the breadth of content in MHW: There are fourteen different types of weapons to use, some melee, some ranged, some simple and others tactically complex, multiple environments to hunt in, a few dozen monster types with varying strengths and weaknesses and tables of dropped crafting materials, many, many items to pick up, craft, an arm-mounted ""slinger"" that can fire various types of found ammo and use and at least two different sets of armor and one of each weapon type to make for each monster, with the Iceborne expansion adding an entirely new ""grapple claw"" mechanic, more moves for the weapons and of course, a lot more monsters and gear to craft. In the vein of many Japanese games I have played in the past: The EDF series, Sengoku Basara, Navel Ops, and others: There is a staggering amount of stuff to do, find and make. MHW is, in a word, dense. If nothing else, you will get your money's worth in hours played by far, if the game is your bag. When hunting alone or with one other player, and I do recommend at least one other player, you have the option of being accompanied by a helpful cat-like creature called a Palico, who can use a selection of unique support items, gather materials, distract the monster for you, and generally be nice to have around. When playing with three or four players however, the Palicos stay behind to enforce the 4-player party size limit.

And now the meat of it: The combat in MHW is certainly more accessible then earlier iterations of the franchise, but gameplay overall is notably clunkier and rigid when compared to contemporary titles, especially western ones. It took some hours for me to adjust to the various oddities of the game's design and hurdles of progression, not the least of which is your extremely limited defense and damage at the game's outset- you will regularly die in early quests and any quest thereafter you are not properly geared for, as player skill will not save you from getting one shot by a powerful attack, thus wasting one of your team's precious limited respawns per assigned quest, costing you time, money and patience. Gear levels aside, as I mentioned earlier I've never been able to reach a real level of comfort with any control setup for MHW. Mouse and keyboard simply has too many separate binds to be usable within a reasonable frame of response time, not helped by a complete remap of the default binds accompanying the infamously delayed-for-pc Iceborne expansion, and locking character movement to eight cardinal directions versus the more nuanced directional control of an analog stick. Controller makes character movement and certain melee attacks and other inputs easier to perform, but hopelessly complicates aiming any projectile weapon or the grapple claw. And both control setups must contend with what I felt, at least initially, was a labyrinthine, archaic menu system and curiously unresponsive quick-use wheel. Aside from any of this, there is also the issue of the disparity in design quality between armors for the two available genders. Whatever your personal feelings on skimpy armor designs for female characters, there is simply a marked lack of quality and design creativity for the female armors.

All that being said, MHW is nonetheless fun, perhaps inexplicably so at times. It's loud and colorful, with easily understandable icons, recognizable outlines for monsters, weapons and armors, reasonable load times, and it's very easy for friends to link up and do hunts together. Combat can be satisfying when all factors line up sufficiently, especially the mounting mechanic and grapple claw techniques. The map and guidance system is fairly robust.

Above all, a bulk of my online friends have the game, and it is always in my experience better to play games of this nature with friends. Whatever its flaws, and there are many, MHW manages to be an entertaining and addicting experience.",7,2020-01-13,Captain_Chaos,False
Lies of P,PlayStation 5,620,500,This game tries to take mechanics of other masterpieces while creating a truly horrible game,0,2023-09-22,kaloss,False
Life is Strange: Before the Storm,PlayStation 4,105,105,"I was suspicious about a prequel with no time warp feature, but this game proved to be a great addition to the main story, providing an interesting backstory with good game mechanics.",8,2018-06-04,freakk82,False
Elden Ring: Shadow of the Erdtree,PC,201,201,DLC just doesn't work. It is impossible even to reinstall the game - it takes 30+ hours (speed is extremely slow).,0,2024-06-23,Oddler17,False
A Plague Tale: Innocence,PC,442,442,"The majority of the game is a linear stealth challenge with light puzzle mechanics.  Both literally light, and figuratively, most of the puzzles involve manipulating light sources. None of the puzzles are particularly challenging, and there's not much of a sense of jeopardy as the light sources permanently stave off the danger.  However, occasionally, the game rises to a frenetic pace and that's when it's really in its element as you have to respond quickly to stay safe.

Combat is best avoided until some late game items/skills are achieved and the boss fights are pretty lacklustre generally.  When you do have cause to fight, you typically are trying to achieve one solid whack to the head with the slingshot, however, there are number of ways to achieve that.

For the most part you have an AI companion following you around, the game didn't really capitalise on all it could with that.  They are part of the world, if they get into trouble you have to save them, if you leave them alone too long they make noise.  However, there were very few opportunities for either of those things to happen.

Aspects of the story have impactful moments are easy to invest in.  However, once it ventures into the main plot with the end boss it goes off the rails a bit.",7,2019-12-28,Kif1983,False
Fallout 2,PC,157,157,"Cruelly ironic, superbly written and brilliantly scored : Fallout 2 offers a new turn on the series and a great sequel to Fallout 1. Through ingenious quests, intricate faction relations and a detailed environment, the game supplements the franchise in a great manner.",10,2024-04-08,Hukkard,False
Dragon Age: Inquisition,PlayStation 4,532,500,"I absolutely love this game. I don't remember the last RPG that I beat and then instantly made a new character and started again. I'm currently in an attempt to get 100% complete and I wonder if that will ever happen.

My only issues with the game would be: The game has some issues like a certain mage build being unbeatable as well as accidentally walking into parts of the map where my character is clearly not good enough to be there and the other being how mountainous the terrain is and constantly being frustrated by my lack of ability to walk places and the CPU AI can be very stupid at times.

Those four issues are the only problems I've had with the game, and none of those are game breaking in the slightest. I got **** in, even with the semi-predictable story. Some parts of the game are better than  others, but I l;oved this game and will be playing it for years.",9,2015-08-26,broth262,False
The Witcher 2: Assassins of Kings,PC,1575,500,"One of the best RPG's I have ever played. The games combat does take some getting used to, in the early hours of the game you are faced with fairly large groups of enemies and the tutorial tips are not very helpful.

However once you get into the swing of things, it really starts to make sense. Personally i like the more difficult combat its refreshing. In a lot of games recently you can just run into a bunch of enemies and wave your sword around like crazy with little consequence.
This is not the case with The Witcher 2, to defeat packs of enemies you usually need to use everything in your arsenal, traps, signs, dodging, potions, oils etc...

This game is very re-playable as there are many choices throughout the game and often the consequences are not realised until later in the story. Most of the choices you make are not very ""black and white"" It is very engaging.

The story is pretty mature, I wouldn't recommend this game for a younger audience. Not only because of the sexual scenes in the game but also because the story is quite political.

The graphics are simply amazing, CDProject Red has done an amazing job crafting the locations. There are slight issues with graphical problems at the moment, for example the shadows on my game have some weird dithering effect but i expect it will be sorted out in patches.
Obviously these high graphics mean you will probably only be buying this game if you have a good graphics card, the game still pretty good on low settings however.

All in all, an amazing game with a combat system that requires some thought about the fight beforehand and crazy through the roof production values.
A must buy for any hardcore PC gamer in my opinion.",9,2011-05-21,Ranara,False
Suicide Squad: Kill The Justice League,PC,178,178,it is totally L cause batman is not even deserve this death. l game no debate,0,2024-02-13,kaanbrk2,False
Street Fighter X Tekken,Xbox 360,64,64,"The only thing everybody should know about this game is that is a SCAM! Terrible on-line gameplay, the gem system ruins the game, the time is to short to play against two different characters, there's no local co-op for the xbox and worst of all the ""DLC"" fiasco, everything is already on the disk.",0,2012-04-22,Test369,False
Monster Hunter 4 Ultimate,3DS,100,100,"Arguably the best third party game on the 3DS, this is a really great Monster Hunter game and the fact its on a portable console is incredible.",10,2023-08-22,GameMan2005,False
How to Survive,PC,57,57,"Unfortunately, not many Zombie-Survival games exist.  More than that - it's really hard to make such a game.

How to Survive quickly becomes a chore, bringing all the seemingly minor minuses of the game to prominence.
At the end, the game simply lacks the basic requirement which keeps the player playing.

Better Alternatives:
Don't Starve, Kingdom: New Lands

En Resumen:
Almost There but Not Quite - Does Not Have the Spark of Exploration.",7,2017-09-11,GolovA,False
Stellar Blade,PlayStation 5,2897,500,"스토리 부분이 조금 부족하지만 전투부터 의상까지 
모두~ 만족 갓 게임 정말 놀랍습니다. 2회차부터는천천히 즐기면서 플레이하면 재밌습니다",10,2024-04-28,Overz,False
Command & Conquer 4: Tiberian Twilight,PC,92,92,"The most important words of the review:  DO NOT BUY!  This is not a Command and Conquer game, this is some other game pretending that it is a C&C game.  Sure, the campy cut scenes are nice and all, but if I wanted to only watch the cut scenes, I would have just found the videos for it online.  For the game itself, not worth the money.  I pre-ordered this game--after playing every other C&C game, I will not trust a C&C game until after it comes out, and probably has some discounts again.",0,2010-08-23,maverickuw,False
Farpoint,PlayStation 4,91,91,"The good points: Something to actually do with VR which is fun enough. For shooter lovers who like a little challenge, enjoyable.
The bad points: Completely straight line... no left, no right.
The worst point: Basically no way to save anywhere between levels. I played an hour and reached the 2nd boss. Got a bit VR wonky. Come back on later and I am at the start of the level again. This is sloppy programming at best.",4,2017-05-29,ludl,False
FIFA 20,PC,141,141,Worst game ever. EA killing their own franchise. Now it's time to switch to PES.,0,2020-02-25,subhra0404,False
Sonic Frontiers,PlayStation 5,1930,500,"One of the best sonic games since sonic generations, i love the open zone and happy super sonic in game",10,2022-11-10,Sonica,False
Enter the Gungeon,PC,98,98,"The best pixel shooter i've even played! There are cool weapons, cool JOKE weapons, nice secrets, ""Hard"" Bosses (For most of the pepole this game is hard, Beat it in 25 hours ALL bosses 1 run) and of course this humor!",9,2020-06-25,SamuraiHyper,False
